ID,flow_99,flow_max,flow_median,flow_total,n_obs
313979.00,50.00,71.00,24.00,18447830.00,806622.00
313980.00,11.00,25.00,1.00,1618489.00,806622.00
313981.00,14.00,28.00,3.00,2916088.00,806622.00
314013.00,48.00,68.00,22.00,17301107.00,806548.00
314014.00,10.00,19.00,1.00,1522494.00,806548.00
314015.00,0.00,0.00,0.00,0.00,806548.00
314025.00,52.00,72.00,24.00,18948991.00,806522.00
314026.00,6.00,15.00,1.00,1069189.00,806522.00
314548.00,53.00,110.00,26.00,19727734.00,803427.00
314549.00,14.00,34.00,1.00,1821222.00,803428.00
316773.00,50.00,102.00,24.00,17178088.00,746685.00
316778.00,32.00,55.00,15.00,10807916.00,746685.00
316783.00,54.00,76.00,36.00,2117604.00,59948.00
316788.00,38.00,49.00,23.00,1370040.00,59948.00
318017.00,0.00,0.00,0.00,0.00,370938.00
318022.00,0.00,0.00,0.00,0.00,371723.00
318052.00,52.00,66.00,29.00,17922124.00,674239.00
318053.00,54.00,70.00,28.00,17846420.00,674239.00
318054.00,4.00,14.00,0.00,433020.00,674245.00
318055.00,12.00,18.00,0.00,1079760.00,674239.00
318067.00,64.00,204.00,21.00,14556545.00,709811.00
318068.00,45.00,62.00,21.00,14734600.00,709811.00
318076.00,53.00,96.00,27.00,17499721.00,701921.00
318077.00,0.00,0.00,0.00,0.00,701921.00
318102.00,52.00,71.00,24.00,18960207.00,812587.00
318103.00,10.00,18.00,1.00,1261660.00,812587.00
318104.00,6.00,12.00,1.00,1192207.00,812587.00
318105.00,6.00,13.00,1.00,1089589.00,812587.00
318106.00,3.00,12.00,0.00,362549.00,812587.00
318113.00,49.00,70.00,22.00,17485842.00,812617.00
318114.00,9.00,16.00,2.00,2098817.00,811752.00
318115.00,12.00,25.00,1.00,1535561.00,811752.00
318126.00,35.00,52.00,18.00,13492725.00,803581.00
318127.00,9.00,17.00,1.00,903372.00,802593.00
318142.00,25.00,46.00,9.00,7010380.00,812722.00
318738.00,9.00,19.00,2.00,1701269.00,811836.00
402260.00,42.00,60.00,0.00,3846600.00,786406.00
402261.00,44.00,64.00,0.00,3894755.00,786424.00
402262.00,27.00,48.00,0.00,899841.00,786423.00
402263.00,25.00,59.00,0.00,876983.00,786410.00
402264.00,48.00,68.00,14.00,12516096.00,786405.00
402265.00,50.00,74.00,18.00,14783467.00,786404.00
402266.00,33.00,72.00,0.00,3177927.00,786424.00
402267.00,40.00,68.00,9.00,9031291.00,786410.00
402268.00,0.00,0.00,0.00,0.00,786396.00
402269.00,0.00,0.00,0.00,0.00,786393.00
402270.00,52.00,72.00,18.00,14707931.00,786402.00
402271.00,0.00,0.00,0.00,0.00,786394.00
402272.00,0.00,0.00,0.00,0.00,786408.00
